实验名称,样本编号,浓度(mg/mL),温度(°C),pH值,吸光度A280,吸光度A260,蛋白质纯度(%),测试日期
蛋白质纯化实验1,P001,12.5,25.0,7.2,1.234,0.987,95.6,2024-01-15
蛋白质纯化实验1,P002,15.3,25.0,7.2,1.456,1.123,94.8,2024-01-15
蛋白质纯化实验1,P003,18.7,25.0,7.2,1.789,1.334,96.2,2024-01-15
蛋白质纯化实验2,P004,10.2,37.0,6.8,0.987,0.765,92.3,2024-01-16
蛋白质纯化实验2,P005,13.8,37.0,6.8,1.234,0.934,93.7,2024-01-16
蛋白质纯化实验2,P006,16.4,37.0,6.8,1.567,1.198,95.1,2024-01-16
酶活性测试,E001,5.6,25.0,7.0,0.654,0.432,89.4,2024-01-17
酶活性测试,E002,7.2,25.0,7.0,0.823,0.567,90.8,2024-01-17
酶活性测试,E003,9.1,25.0,7.0,1.045,0.712,92.1,2024-01-17
质谱分析,MS001,20.0,4.0,7.5,2.134,1.678,97.8,2024-01-18
质谱分析,MS002,22.5,4.0,7.5,2.345,1.823,98.2,2024-01-18
质谱分析,MS003,25.0,4.0,7.5,2.567,1.987,98.6,2024-01-18
